value,area,urban,gender
197,"Тюменская область","Городское и сельское население","Оба пола"
83,"Тюменская область","Городское и сельское население",Мужчины
114,"Тюменская область","Городское и сельское население",Женщины
126,"Тюменская область","Городское население","Оба пола"
51,"Тюменская область","Городское население",Мужчины
75,"Тюменская область","Городское население",Женщины
71,"Тюменская область","Сельское население","Оба пола"
32,"Тюменская область","Сельское население",Мужчины
39,"Тюменская область","Сельское население",Женщины
47,"Ханты-Мансийский автономный округ — Югра","Городское и сельское население","Оба пола"
22,"Ханты-Мансийский автономный округ — Югра","Городское и сельское население",Мужчины
25,"Ханты-Мансийский автономный округ — Югра","Городское и сельское население",Женщины
43,"Ханты-Мансийский автономный округ — Югра","Городское население","Оба пола"
20,"Ханты-Мансийский автономный округ — Югра","Городское население",Мужчины
23,"Ханты-Мансийский автономный округ — Югра","Городское население",Женщины
4,"Ханты-Мансийский автономный округ — Югра","Сельское население","Оба пола"
2,"Ханты-Мансийский автономный округ — Югра","Сельское население",Мужчины
2,"Ханты-Мансийский автономный округ — Югра","Сельское население",Женщины
60,"Ямало-Ненецкий автономный округ","Городское и сельское население","Оба пола"
24,"Ямало-Ненецкий автономный округ","Городское и сельское население",Мужчины
36,"Ямало-Ненецкий автономный округ","Городское и сельское население",Женщины
46,"Ямало-Ненецкий автономный округ","Городское население","Оба пола"
17,"Ямало-Ненецкий автономный округ","Городское население",Мужчины
29,"Ямало-Ненецкий автономный округ","Городское население",Женщины
14,"Ямало-Ненецкий автономный округ","Сельское население","Оба пола"
7,"Ямало-Ненецкий автономный округ","Сельское население",Мужчины
7,"Ямало-Ненецкий автономный округ","Сельское население",Женщины
94,"Челябинская область","Городское и сельское население","Оба пола"
35,"Челябинская область","Городское и сельское население",Мужчины
59,"Челябинская область","Городское и сельское население",Женщины
89,"Челябинская область","Городское население","Оба пола"
33,"Челябинская область","Городское население",Мужчины
56,"Челябинская область","Городское население",Женщины
5,"Челябинская область","Сельское население","Оба пола"
2,"Челябинская область","Сельское население",Мужчины
3,"Челябинская область","Сельское население",Женщины
849,"Сибирский федеральный округ","Городское и сельское население","Оба пола"
366,"Сибирский федеральный округ","Городское и сельское население",Мужчины
483,"Сибирский федеральный округ","Городское и сельское население",Женщины
710,"Сибирский федеральный округ","Городское население","Оба пола"
308,"Сибирский федеральный округ","Городское население",Мужчины
402,"Сибирский федеральный округ","Городское население",Женщины
139,"Сибирский федеральный округ","Сельское население","Оба пола"
58,"Сибирский федеральный округ","Сельское население",Мужчины
81,"Сибирский федеральный округ","Сельское население",Женщины
11,"Республика Алтай","Городское и сельское население","Оба пола"
6,"Республика Алтай","Городское и сельское население",Мужчины
5,"Республика Алтай","Городское и сельское население",Женщины
3,"Республика Алтай","Городское население","Оба пола"
2,"Республика Алтай","Городское население",Мужчины
1,"Республика Алтай","Городское население",Женщины
8,"Республика Алтай","Сельское население","Оба пола"
4,"Республика Алтай","Сельское население",Мужчины
4,"Республика Алтай","Сельское население",Женщины
30,"Республика Бурятия","Городское и сельское население","Оба пола"
12,"Республика Бурятия","Городское и сельское население",Мужчины
18,"Республика Бурятия","Городское и сельское население",Женщины
17,"Республика Бурятия","Городское население","Оба пола"
6,"Республика Бурятия","Городское население",Мужчины
11,"Республика Бурятия","Городское население",Женщины
13,"Республика Бурятия","Сельское население","Оба пола"
6,"Республика Бурятия","Сельское население",Мужчины
7,"Республика Бурятия","Сельское население",Женщины
27,"Республика Тыва","Городское и сельское население","Оба пола"
11,"Республика Тыва","Городское и сельское население",Мужчины
16,"Республика Тыва","Городское и сельское население",Женщины
13,"Республика Тыва","Городское население","Оба пола"
7,"Республика Тыва","Городское население",Мужчины
6,"Республика Тыва","Городское население",Женщины
14,"Республика Тыва","Сельское население","Оба пола"
4,"Республика Тыва","Сельское население",Мужчины
10,"Республика Тыва","Сельское население",Женщины
26,"Республика Хакасия","Городское и сельское население","Оба пола"
6,"Республика Хакасия","Городское и сельское население",Мужчины
20,"Республика Хакасия","Городское и сельское население",Женщины
14,"Республика Хакасия","Городское население","Оба пола"
1,"Республика Хакасия","Городское население",Мужчины
13,"Республика Хакасия","Городское население",Женщины
12,"Республика Хакасия","Сельское население","Оба пола"
5,"Республика Хакасия","Сельское население",Мужчины
7,"Республика Хакасия","Сельское население",Женщины
76,"Алтайский край","Городское и сельское население","Оба пола"
30,"Алтайский край","Городское и сельское население",Мужчины
46,"Алтайский край","Городское и сельское население",Женщины
49,"Алтайский край","Городское население","Оба пола"
17,"Алтайский край","Городское население",Мужчины
32,"Алтайский край","Городское население",Женщины
27,"Алтайский край","Сельское население","Оба пола"
13,"Алтайский край","Сельское население",Мужчины
14,"Алтайский край","Сельское население",Женщины
18,"Забайкальский край ","Городское и сельское население","Оба пола"
8,"Забайкальский край ","Городское и сельское население",Мужчины
10,"Забайкальский край ","Городское и сельское население",Женщины
12,"Забайкальский край ","Городское население","Оба пола"
6,"Забайкальский край ","Городское население",Мужчины
6,"Забайкальский край ","Городское население",Женщины
6,"Забайкальский край ","Сельское население","Оба пола"
2,"Забайкальский край ","Сельское население",Мужчины
4,"Забайкальский край ","Сельское население",Женщины
101,"Красноярский край ","Городское и сельское население","Оба пола"
50,"Красноярский край ","Городское и сельское население",Мужчины
51,"Красноярский край ","Городское и сельское население",Женщины
82,"Красноярский край ","Городское население","Оба пола"
46,"Красноярский край ","Городское население",Мужчины
36,"Красноярский край ","Городское население",Женщины
19,"Красноярский край ","Сельское население","Оба пола"
4,"Красноярский край ","Сельское население",Мужчины
15,"Красноярский край ","Сельское население",Женщины
56,"Иркутская область ","Городское и сельское население","Оба пола"
24,"Иркутская область ","Городское и сельское население",Мужчины
32,"Иркутская область ","Городское и сельское население",Женщины
50,"Иркутская область ","Городское население","Оба пола"
21,"Иркутская область ","Городское население",Мужчины
29,"Иркутская область ","Городское население",Женщины
6,"Иркутская область ","Сельское население","Оба пола"
3,"Иркутская область ","Сельское население",Мужчины
3,"Иркутская область ","Сельское население",Женщины
53,"Кемеровская область","Городское и сельское население","Оба пола"
21,"Кемеровская область","Городское и сельское население",Мужчины
32,"Кемеровская область","Городское и сельское население",Женщины
52,"Кемеровская область","Городское население","Оба пола"
21,"Кемеровская область","Городское население",Мужчины
31,"Кемеровская область","Городское население",Женщины
1,"Кемеровская область","Сельское население","Оба пола"
-,"Кемеровская область","Сельское население",Мужчины
1,"Кемеровская область","Сельское население",Женщины
105,"Новосибирская область","Городское и сельское население","Оба пола"
40,"Новосибирская область","Городское и сельское население",Мужчины
65,"Новосибирская область","Городское и сельское население",Женщины
92,"Новосибирская область","Городское население","Оба пола"
35,"Новосибирская область","Городское население",Мужчины
57,"Новосибирская область","Городское население",Женщины
13,"Новосибирская область","Сельское население","Оба пола"
5,"Новосибирская область","Сельское население",Мужчины
8,"Новосибирская область","Сельское население",Женщины
50,"Омская область","Городское и сельское население","Оба пола"
21,"Омская область","Городское и сельское население",Мужчины
29,"Омская область","Городское и сельское население",Женщины
45,"Омская область","Городское население","Оба пола"
18,"Омская область","Городское население",Мужчины
27,"Омская область","Городское население",Женщины
5,"Омская область","Сельское население","Оба пола"
3,"Омская область","Сельское население",Мужчины
2,"Омская область","Сельское население",Женщины
296,"Томская область","Городское и сельское население","Оба пола"
137,"Томская область","Городское и сельское население",Мужчины
159,"Томская область","Городское и сельское население",Женщины
281,"Томская область","Городское население","Оба пола"
128,"Томская область","Городское население",Мужчины
153,"Томская область","Городское население",Женщины
15,"Томская область","Сельское население","Оба пола"
9,"Томская область","Сельское население",Мужчины
6,"Томская область","Сельское население",Женщины
561,"Дальневосточный федеральный округ","Городское и сельское население","Оба пола"
222,"Дальневосточный федеральный округ","Городское и сельское население",Мужчины
339,"Дальневосточный федеральный округ","Городское и сельское население",Женщины
423,"Дальневосточный федеральный округ","Городское население","Оба пола"
170,"Дальневосточный федеральный округ","Городское население",Мужчины
253,"Дальневосточный федеральный округ","Городское население",Женщины
138,"Дальневосточный федеральный округ","Сельское население","Оба пола"
52,"Дальневосточный федеральный округ","Сельское население",Мужчины
86,"Дальневосточный федеральный округ","Сельское население",Женщины
54,"Республика Саха (Якутия)","Городское и сельское население","Оба пола"
17,"Республика Саха (Якутия)","Городское и сельское население",Мужчины
37,"Республика Саха (Якутия)","Городское и сельское население",Женщины
28,"Республика Саха (Якутия)","Городское население","Оба пола"
8,"Республика Саха (Якутия)","Городское население",Мужчины
20,"Республика Саха (Якутия)","Городское население",Женщины
26,"Республика Саха (Якутия)","Сельское население","Оба пола"
9,"Республика Саха (Якутия)","Сельское население",Мужчины
17,"Республика Саха (Якутия)","Сельское население",Женщины
61,"Камчатский край ","Городское и сельское население","Оба пола"
25,"Камчатский край ","Городское и сельское население",Мужчины
36,"Камчатский край ","Городское и сельское население",Женщины
38,"Камчатский край ","Городское население","Оба пола"
16,"Камчатский край ","Городское население",Мужчины
22,"Камчатский край ","Городское население",Женщины
23,"Камчатский край ","Сельское население","Оба пола"
9,"Камчатский край ","Сельское население",Мужчины
14,"Камчатский край ","Сельское население",Женщины
92,"Приморский край","Городское и сельское население","Оба пола"
40,"Приморский край","Городское и сельское население",Мужчины
52,"Приморский край","Городское и сельское население",Женщины
75,"Приморский край","Городское население","Оба пола"
32,"Приморский край","Городское население",Мужчины
43,"Приморский край","Городское население",Женщины
17,"Приморский край","Сельское население","Оба пола"
8,"Приморский край","Сельское население",Мужчины
9,"Приморский край","Сельское население",Женщины
178,"Хабаровский край","Городское и сельское население","Оба пола"
76,"Хабаровский край","Городское и сельское население",Мужчины
102,"Хабаровский край","Городское и сельское население",Женщины
132,"Хабаровский край","Городское население","Оба пола"
57,"Хабаровский край","Городское население",Мужчины
75,"Хабаровский край","Городское население",Женщины
46,"Хабаровский край","Сельское население","Оба пола"
19,"Хабаровский край","Сельское население",Мужчины
27,"Хабаровский край","Сельское население",Женщины
14,"Амурская область","Городское и сельское население","Оба пола"
4,"Амурская область","Городское и сельское население",Мужчины
10,"Амурская область","Городское и сельское население",Женщины
11,"Амурская область","Городское население","Оба пола"
4,"Амурская область","Городское население",Мужчины
7,"Амурская область","Городское население",Женщины
3,"Амурская область","Сельское население","Оба пола"
-,"Амурская область","Сельское население",Мужчины
3,"Амурская область","Сельское население",Женщины
49,"Магаданская область","Городское и сельское население","Оба пола"
17,"Магаданская область","Городское и сельское население",Мужчины
32,"Магаданская область","Городское и сельское население",Женщины
49,"Магаданская область","Городское население","Оба пола"
17,"Магаданская область","Городское население",Мужчины
32,"Магаданская область","Городское население",Женщины
-,"Магаданская область","Сельское население","Оба пола"
-,"Магаданская область","Сельское население",Мужчины
-,"Магаданская область","Сельское население",Женщины
58,"Сахалинская область","Городское и сельское население","Оба пола"
20,"Сахалинская область","Городское и сельское население",Мужчины
38,"Сахалинская область","Городское и сельское население",Женщины
39,"Сахалинская область","Городское население","Оба пола"
13,"Сахалинская область","Городское население",Мужчины
26,"Сахалинская область","Городское население",Женщины
19,"Сахалинская область","Сельское население","Оба пола"
7,"Сахалинская область","Сельское население",Мужчины
12,"Сахалинская область","Сельское население",Женщины
16,"Еврейская автономная область","Городское и сельское население","Оба пола"
6,"Еврейская автономная область","Городское и сельское население",Мужчины
10,"Еврейская автономная область","Городское и сельское население",Женщины
14,"Еврейская автономная область","Городское население","Оба пола"
6,"Еврейская автономная область","Городское население",Мужчины
8,"Еврейская автономная область","Городское население",Женщины
2,"Еврейская автономная область","Сельское население","Оба пола"
-,"Еврейская автономная область","Сельское население",Мужчины
2,"Еврейская автономная область","Сельское население",Женщины
39,"Чукотский автономный округ","Городское и сельское население","Оба пола"
17,"Чукотский автономный округ","Городское и сельское население",Мужчины
22,"Чукотский автономный округ","Городское и сельское население",Женщины
37,"Чукотский автономный округ","Городское население","Оба пола"
17,"Чукотский автономный округ","Городское население",Мужчины
20,"Чукотский автономный округ","Городское население",Женщины
2,"Чукотский автономный округ","Сельское население","Оба пола"
-,"Чукотский автономный округ","Сельское население",Мужчины
2,"Чукотский автономный округ","Сельское население",Женщины
