"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2022 г.)"
"Орловская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Орловская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-88,89"
"Орловская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,23"
"Рязанская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",9154
"Рязанская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",2931
"Рязанская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",624
"Рязанская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",5666
"Рязанская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1254
"Рязанская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",371
"Рязанская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","17,23"
"Рязанская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","4,2"
"Рязанская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-86,67"
"Рязанская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Рязанская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-96
"Рязанская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,21"
"Смоленская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",14611
"Смоленская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4350
"Смоленская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",634
"Смоленская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",6943
"Смоленская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1564
"Смоленская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",278
"Смоленская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)",-7
"Смоленская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","45,27"
"Смоленская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Смоленская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-85
"Смоленская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-84,62"
"Смоленская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,69"
"Тамбовская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",13799
"Тамбовская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3473
"Тамбовская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",666
"Тамбовская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",8456
"Тамбовская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1686
"Тамбовская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",357
"Тамбовская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","129,8"
"Тамбовская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","46,5"
"Тамбовская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Тамбовская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-66,67"
"Тамбовская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-100
"Тамбовская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,47"
"Тверская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",21352
"Тверская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",6258
"Тверская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",1862
"Тверская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7489
"Тверская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1645
"Тверская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",449
"Тверская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-70,71"
"Тверская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","28,08"
"Тверская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-95,45"
"Тверская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-96,3"
"Тверская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-97,73"
"Тверская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,44"
"Тульская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",15826
"Тульская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4503
"Тульская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",926
"Тульская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7489
"Тульская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1834
"Тульская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",599
"Тульская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-43,75"
"Тульская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","67,76"
"Тульская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-71,43"
"Тульская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-90
"Тульская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-93,75"
"Тульская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,37"
"Ярославская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",18368
"Ярославская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4137
"Ярославская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",764
"Ярославская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",8144
"Ярославская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1764
"Ярославская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",305
"Ярославская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-62,04"
"Ярославская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-5,99"
"Ярославская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-83,33"
"Ярославская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-86,84"
"Ярославская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-91,49"
"Ярославская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,41"
"Северо-Западный фед.округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде",197119
"Северо-Западный фед.округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",53815
"Северо-Западный фед.округ","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",7806
"Северо-Западный фед.округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",93915
"Северо-Западный фед.округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",24015
"Северо-Западный фед.округ","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",5380
"Северо-Западный фед.округ","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-60,83"
"Северо-Западный фед.округ","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-12,93"
"Северо-Западный фед.округ","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-86,46"
"Северо-Западный фед.округ","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-91
"Северо-Западный фед.округ","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-96,47"
"Северо-Западный фед.округ","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,45"
"Республика Карелия","3_4","Количество преступлений, зарегистрированных в отчетном периоде",11850
"Республика Карелия","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",2674
"Республика Карелия","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",431
"Республика Карелия","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7094
"Республика Карелия","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1325
"Республика Карелия","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",264
"Республика Карелия","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-47,58"
"Республика Карелия","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","43,06"
"Республика Карелия","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-60
"Республика Карелия","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-86,67"
"Республика Карелия","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-94,12"
"Республика Карелия","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,88"
"Республика Коми","3_4","Количество преступлений, зарегистрированных в отчетном периоде",14797
"Республика Коми","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3540
"Республика Коми","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",409
"Республика Коми","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",9086
"Республика Коми","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1970
"Республика Коми","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",405
"Республика Коми","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-41,4"
"Республика Коми","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","78,19"
"Республика Коми","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Республика Коми","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-78,57"
"Республика Коми","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-100
"Республика Коми","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,87"
"Архангельская обл. (с АО )","3_4","Количество преступлений, зарегистрированных в отчетном периоде",17472
"Архангельская обл. (с АО )","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",5077
"Архангельская обл. (с АО )","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",837
"Архангельская обл. (с АО )","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",9356
"Архангельская обл. (с АО )","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",2367
"Архангельская обл. (с АО )","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",619
"Архангельская обл. (с АО )","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-39,29"
"Архангельская обл. (с АО )","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","65,65"
"Архангельская обл. (с АО )","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-81,82"
"Архангельская обл. (с АО )","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-82,5"
"Архангельская обл. (с АО )","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-98,21"
"Архангельская обл. (с АО )","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,63"
"  Архангельская обл. (без а/о)","3_4","Количество преступлений, зарегистрированных в отчетном периоде",16786
"  Архангельская обл. (без а/о)","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4893
"  Архангельская обл. (без а/о)","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",769
"  Архангельская обл. (без а/о)","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",8904
"  Архангельская обл. (без а/о)","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",2263
"  Архангельская обл. (без а/о)","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",554
"  Архангельская обл. (без а/о)","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-39,87"
"  Архангельская обл. (без а/о)","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","65,24"
"  Архангельская обл. (без а/о)","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-86,36"
